XCoord,YCoord,START_NODE,END_NODE,EDGE,LENGTH
847597.04623829,2619980.64344477,175,179,90,32.0112390231508
847597.04623829,2619980.64344477,175,220,111,78.5735706293182
847628.77980135,2619984.85062900,179,175,90,32.0112390231508
847628.77980135,2619984.85062900,179,182,91,54.3492621015292
847628.77980135,2619984.85062900,179,183,92,33.1604319879272
847628.77980135,2619984.85062900,179,224,113,78.0646932383816
847634.44360758,2619930.79728877,182,179,91,54.3492621015292
847661.65428368,2619989.19604742,183,179,92,33.1604319879272
847661.65428368,2619989.19604742,183,186,93,58.7178089699277
847661.65428368,2619989.19604742,183,187,94,32.5959910538949
847661.65428368,2619989.19604742,183,228,115,77.5463573687413
847667.59612596,2619930.77964903,186,183,93,58.7178089699277
847693.96850415,2619993.47270363,187,183,94,32.5959910538949
847693.96850415,2619993.47270363,187,190,95,65.7183590559355
847693.96850415,2619993.47270363,187,191,96,33.2745147068184
847693.96850415,2619993.47270363,187,236,119,77.0268705687127
847700.54700502,2619928.08443218,190,187,95,65.7183590559355
847726.95475485,2619997.84312620,191,187,96,33.2745147068184
847726.95475485,2619997.84312620,191,194,97,63.4826646831652
847726.95475485,2619997.84312620,191,195,98,32.7608453147726
847726.95475485,2619997.84312620,191,240,121,76.4887498672438
847734.34594877,2619934.79220260,194,191,97,63.4826646831652
847759.43179635,2620002.14600451,195,191,98,32.7608453147726
847759.43179635,2620002.14600451,195,198,99,60.038656257644
847759.43179635,2620002.14600451,195,199,100,22.2096922104206
847759.43179635,2620002.14600451,195,244,123,75.963662430873
847766.50617912,2619942.52559396,198,195,99,60.038656257644
847781.44993570,2620005.05666896,199,195,100,22.2096922104206
847471.92806767,2620045.20815580,202,162,101,85.9565780060795
847471.92806767,2620045.20815580,202,204,102,20.2866828094098
847471.92806767,2620045.20815580,202,258,129,77.1324009221776
847492.08011707,2620047.54148055,204,202,102,20.2866828094098
847492.08011707,2620047.54148055,204,162,103,80.1062041511924
847492.08011707,2620047.54148055,204,208,104,33.4673806901135
847492.08011707,2620047.54148055,204,260,131,74.2178893364406
847525.32346228,2620051.40743054,208,204,104,33.4673806901135
847525.32346228,2620051.40743054,208,163,105,79.5730259210123
847525.32346228,2620051.40743054,208,216,108,32.0516784516956
847525.32346228,2620051.40743054,208,264,133,74.4318624583851
846661.79570777,2620054.94372950,211,212,106,142.154803866292
846661.79570777,2620054.94372950,211,213,107,622.665196173399
846661.79570777,2620054.94372950,211,320,160,142.653148609494
846537.32746113,2620040.13453042,212,211,106,142.154803866292
846537.32746113,2620040.13453042,212,233,19705,17.9401800325897
846743.39600128,2619462.53463656,213,211,107,622.665196173399
847557.16093704,2620055.10679430,216,208,108,32.0516784516956
847557.16093704,2620055.10679430,216,167,109,79.0740599040706
847557.16093704,2620055.10679430,216,220,110,31.1597460342011
847557.16093704,2620055.10679430,216,268,135,74.646825864162
847588.11195083,2620058.70742179,220,216,110,31.1597460342011
847588.11195083,2620058.70742179,220,175,111,78.5735706293182
847588.11195083,2620058.70742179,220,224,112,32.7493652556541
847588.11195083,2620058.70742179,220,272,137,74.8440202505933
847620.64213514,2620062.49001797,224,220,112,32.7493652556541
847620.64213514,2620062.49001797,224,179,113,78.0646932383816
847620.64213514,2620062.49001797,224,228,114,33.374840911943
847620.64213514,2620062.49001797,224,276,139,75.0618914616811
847653.79382608,2620066.34298999,228,224,114,33.374840911943
847653.79382608,2620066.34298999,228,183,115,77.5463573687413
847653.79382608,2620066.34298999,228,236,118,32.6873317562502
847653.79382608,2620066.34298999,228,282,142,75.2881293358889
846459.00161974,2620069.25627709,231,232,116,272.141478837869
846459.00161974,2620069.25627709,231,233,117,70.5709110316759
846459.00161974,2620069.25627709,231,321,161,264.779377400722
846306.48429027,2619876.16296325,232,231,116,272.141478837869
846526.74589437,2620054.62178359,233,231,117,70.5709110316759
846526.74589437,2620054.62178359,233,212,19705,17.9401800325897
847686.26300003,2620070.11318899,236,228,118,32.6873317562502
847686.26300003,2620070.11318899,236,187,119,77.0268705687127
847686.26300003,2620070.11318899,236,240,120,32.0008389249423
847686.26300003,2620070.11318899,236,286,144,75.5148020741555
847718.04939253,2620073.81169456,240,236,120,32.0008389249423
847718.04939253,2620073.81169456,240,191,121,76.4887498672438
847718.04939253,2620073.81169456,240,244,122,32.6568254194578
847718.04939253,2620073.81169456,240,292,147,75.6983012825395
847750.48792294,2620077.58130883,244,240,122,32.6568254194578
847750.48792294,2620077.58130883,244,195,123,75.963662430873
847750.48792294,2620077.58130883,244,248,124,31.9601630155553
847750.48792294,2620077.58130883,244,296,149,75.9084680590244
847782.23346168,2620081.27898242,248,244,124,31.9601630155553
847782.23346168,2620081.27898242,248,250,125,69.1595522815654
847782.23346168,2620081.27898242,248,252,126,33.1287320903255
847782.23346168,2620081.27898242,248,302,152,76.132413683376
847789.36366562,2620012.48796655,250,248,125,69.1595522815654
847815.14060045,2620085.10430691,252,248,126,33.1287320903255
847815.14060045,2620085.10430691,252,254,127,61.7930639463341
847815.14060045,2620085.10430691,252,256,128,30.276982930823
847815.14060045,2620085.10430691,252,289,145,62.2494791402092
847822.24714693,2620023.72124940,254,252,127,61.7930639463341
847845.21558897,2620088.59583392,256,252,128,30.276982930823
847441.54806004,2620116.10570448,258,202,129,77.1324009221776
847441.54806004,2620116.10570448,258,260,130,42.6935246914528
847441.54806004,2620116.10570448,258,339,171,143.563052196477
847483.92322697,2620121.30976806,260,258,130,42.6935246914528
847483.92322697,2620121.30976806,260,204,131,74.2178893364406
847483.92322697,2620121.30976806,260,264,132,33.3133225167844
847483.92322697,2620121.30976806,260,308,154,53.9973699152064
847516.98805883,2620125.37109187,264,260,132,33.3133225167844
847516.98805883,2620125.37109187,264,208,133,74.4318624583851
847516.98805883,2620125.37109187,264,268,134,32.4000240423135
847516.98805883,2620125.37109187,264,310,155,53.4053985418367
847549.14627666,2620129.32211503,268,264,134,32.4000240423135
847549.14627666,2620129.32211503,268,216,135,74.646825864162
847549.14627666,2620129.32211503,268,272,136,30.6863170032198
847549.14627666,2620129.32211503,268,313,157,52.0703810737897
847579.60332414,2620133.06621844,272,268,136,30.6863170032198
847579.60332414,2620133.06621844,272,220,137,74.8440202505933
847579.60332414,2620133.06621844,272,276,138,33.4567125361281
847579.60332414,2620133.06621844,272,315,158,52.3010933283892
847612.81081514,2620137.14226493,276,272,138,33.4567125361281
847612.81081514,2620137.14226493,276,224,139,75.0618914616811
847612.81081514,2620137.14226493,276,282,141,33.6113512210422
847612.81081514,2620137.14226493,276,317,159,57.0299244226748
840535.15834055,2620138.93483708,280,128,140,1402.88286256469
847646.17092486,2620141.24421692,282,276,141,33.6113512210422
847646.17092486,2620141.24421692,282,228,142,75.2881293358889
